title,text,class,subject,date
THE CHALKENING: Political Chalk Drawing Bandit Terrorizing Liberals Across America [Video],The social justice warriors are being terrorized by the chalk bandit Bahahaha! ,0,left-news,"Apr 13, 2016"
Philippine drugs board chief quits after contradicting Duterte,"MANILA (Reuters) - The head of the Philippines  narcotics control body has resigned after just five months in the job, the second successive official to vacate the post for making statements contracting President Rodrigo Duterte. Retired army general Dionisio Santiago on Tuesday said he quit as chairman of the Dangerous Drugs Board after receiving a call from Duterte s executive secretary, a few days after he publicly said the construction of a 10,000-bed  mega drug rehab  facility was a mistake. Countering illicit drugs is the centerpiece policy of Duterte s presidency and he has repeatedly threatened to kill dealers and users and said he was willing to be jailed for it. His crackdown has killed thousands of Filipinos, but the administration insists it is committed to arresting dealers and rehabilitating users, citing the new facility and the voluntary surrender of 1.3 million addicts and pushers as a sign of its positive intent.  My rule is the boss is always right and if you think the boss is not right, refer to rule No. 1,  Santiago told Radyo Inquirer, adding he had already submitted a two-sentence resignation letter. Santiago had said the government may have miscalculated with the rehab center and should have pursued a practical community-based rehabilitation program. Fewer than 500 people have been admitted to the facility, which was launched last year amid great fanfare and was funded by a wealthy Chinese businessman. Duterte gave Santiago the job in June after the former head was forced to quit after disputing the president s repeated statements that there were more than four million Filipino drug addicts. Duterte has never disclosed the source of that information and some experts say it is exaggerated. Separately, Duterte s new health minister, Francisco Duque, on Tuesday voiced his approval for using marijuana  only for research purposes  in medicine.  He said he would prefer marijuana in  pharmaceutical form  if the country legalized its use.  If it is in raw form, it is uncontrolled, subject to abuse, addiction,  he said at his first news conference.  That is where, I believe, the risks are more profound.  There is a pending bill in Congress to legalize and regulate the medical use of cannabis. ",1,worldnews,"November 7, 2017 "
 Snowflake Trump Makes His Staff Create A Daily Newsletter,"A couple of weeks ago, Donald Trump held his first cabinet meeting. They might have discussed policy or the goals of the floundering administration, but what the world saw was like something straight out of North Korea. Trump went around the room and each cabinet member heaped fawning praise on Dear Leader.It turns out that was far from an isolated incident. Trump s White House has a daily newsletter and its one and only purpose is to appease Dear Leader s fragile snowflake ego.There is already a White House newsletter called  1600 Daily  after the White House address of 1600 Pennsylvania Ave. It s already an upbeat, full of pictures and general public relations (and yes, propaganda) stories, online newsletter that s available to the general public.West Wing Reads, though, is different. It wasn t written by staff. Instead, it s a compilation of stories from the web   mostly from right-wing sources such as Breitbart and Fox   that are flattering to Trump.On Thursday, for example, a Forbes contributor argued the Congressional Budget Office was wrong in calculating that 22 million people would lose health insurance under Trumpcare. According to them, no one would lose insurance.Reality check! An analysis by Forbes contributor Josh Archambault reveals surprising flaws in the CBO s score of the Senate healthcare bill, which concludes 22 million more Americans will be without health coverage by 2026. As Archambault points out, the CBO score is based on an old, inaccurate 2016 CBO estimate of how many Americans will purchase Obamacare. If you use their January 2017 update, Republican legislation to repeal and replace Obamacare would result in only 2 million fewer on the individual market by 2026, and would actually result in no losses and even some gains in enrollment in the years preceding, Archambault estimates. Click here to read more.On Tuesday, the newsletter even quoted CNN, who Trump normally calls  fake news,  because they had a positive write-up about his Supreme Court justice, Neil Gorsuch.And they like to say that President Obama was arrogant.Featured image via Chip Somodevilla/Getty Images",0,News,"June 29, 2017"
Trumpâ€™s Proposed Student Loan Program Makes Him Look More Liberal Than Obama; Republicans Fuming,"Share on Facebook 
Republicans in Congress and perhaps across the nation are suffering today from a case of buyers remorse after Trump begins back peddling on several of his campaign promises, before he even takes office. 
Over the last few days, he backed off on his claim that he’ll repeal Obamacare by saying he’d just tweak it. He’s seemed to have changed his mind on prosecuting Hillary Clinton and he’s no longer talking about banning Muslims. While “drain the swamp,” which referred to Washington’s culture of corruption, was one of his later campaign slogans, he’s filling his cabinet posts with Washington insiders and corporate lobbyists. He’s even appearing to change his mind about his signature issue, the wall between the United States and Mexico . 
One piece of Trump’s campaign rhetoric was actually something that would make people’s lives better and it’s something that Republicans are going to hate. His proposal for student loans is radical, in that it’s not a gift to Wall Street and it’s even more liberal than anything President Obama has proposed. In a rally just a month ago, Trump said about student loans: 
“We would cap repayment for an affordable portion of the borrower’s income, 12.5 percent, we’d cap it. That gives you a lot to play with and a lot to do,” Trump said at a rally in Columbus, Ohio, on Thursday. “And if borrowers work hard and make their full payments for 15 years, we’ll let them get on with their lives. They just go ahead and they get on with their lives.” 
“Students should not be asked to pay more on the debt than they can afford,” Trump said. “And the debt should not be an albatross around their necks for the rest of their lives.” 
Source: Washington Post 
Trump’s proposed debt forgiveness program is actually pretty similar to Obama’s . Instead of a 12.5 percent cap, Obama introduced a cap of 10 percent of a graduate’s income. Trump’s program, though, would leave graduates with five fewer years of debt. Trump’s would forgive debt after 15 years while Obama’s would forgive after 10. In that one significant way, Trump’s program is even more liberal than Obama’s and if he carries it out, Congressional Republicans may have no choice but to turn on their party’s President. 
The American Enterprise Institute is a Washington think tank who issues a lot of the marching orders of Republicans. They were the driving force behind the Iraq war and of failed trickle down economics. This is what they have to say about student loan debt forgiveness: 
“They are way off on their numbers,” said Jason Delisle, a resident fellow at the American Enterprise Institute, a conservative think tank. “If you were going to give loan forgiveness in 15 years, you’re going to forgive a lot more debt than you’re going to make up for in the form of the higher payments they’re proposing, by a lot. I don’t even need to run the numbers. It’s so obvious.” 
Really, it’s not obvious. Forgiving student debt would be a big boost to the economy because it would 1.) incentivize people to become more educated and 2.) put more money back into the economy because graduates would be free to buy more. Not that Republicans care about that, though. They prefer that graduates owe their lives to Wall Street banks and in turning his back on that, Trump is violating literally everything his party stands for.",0,,
Ghana and Ivory Coast act to implement ruling on maritime border dispute,"ACCRA (Reuters) - Ghana and Ivory Coast set up a body on Tuesday to implement an international tribunal ruling on their dispute over a border running through multibillion dollar offshore oilfields, they said in a statement. The International Tribunal for the Law of the Sea last month drew an ocean boundary that seemed to favour Ghana in a dispute with its neighbour Ivory Coast, ruling that Accra had not violated Ivorian rights in drilling for oil.   Following last month s ruling, the two leaders have agreed to work together and this has culminated in the setting up of a joint commission to implement the ruling,  Ghanaian foreign minister Shirley Botchwey said, reading a joint communique. The decade-old row between the West African neighbours has put the brakes on the development of Ghana s $6 billion offshore TEN field, run by Tullow Oil , one of the projects in the contested area of the Atlantic. The court ruling did not correspond with either Ghana or Ivory Coast s claim, but appeared closer to Ghana s, and it rejected the former s attempt to halt development. ",1,worldnews,"October 17, 2017 "
 Eric Trump Gives DUMBEST Defense For His Brother’s Russia Scandal,"The White House is getting really nervous today after Donald Trump Jr. tweeted out damning copies of an email chain of a discussion about setting up a meeting with a Kremlin-connected Russian lawyer in order to obtain dirt on Hillary Clinton. Also at the meeting was Trump s son-in-law, Jared Kushner and the alleged president s former campaign manager, Paul Manafort. The meeting was held in Trump Tower in 2016, but the amateur president claims to know nothing about it   even though he touts himself as a micromanager.Junior s brother, Eric Trump, stepped in to defend him on Twitter Tuesday. By the way, Junior s father has been strangely quiet on Twitter since the news broke but Eric put his juice box down and took to his Twitter account to defend his scandal-plagued brother. This is the EXACT reason they viciously attack our family! They can t stand that we are extremely close and will ALWAYS support each other,  Eric Trump tweeted.This is the EXACT reason they viciously attack our family! They can't stand that we are extremely close and will ALWAYS support each other. https://t.co/1f7JqxScMr  Eric Trump (@EricTrump) July 11, 2017Eric said that while retweeting a video clip posted by United Kingdom Independence Party (UKIP) and Brexit leader Nigel Farage who was defending Donald Trump Jr., saying the amateur president s (OK, he didn t say amateur but still) eldest son is being attacked for supporting his father.Twitter users could see that Eric s whiny defense sucked.Eric Trump proclaims the 60% of Americans who dont support his father hate close families. Yah, that's it. (Eric shhhh! Ur not helping.)  Kurt Eichenwald (@kurteichenwald) July 11, 2017Supermodel Chrissy Teigen weighed in.What happens when you see garlic  christine teigen (@chrissyteigen) July 11, 2017Tweeting out a discredited racist to defend your family is admirably on-brand.  Dave Zirin (@EdgeofSports) July 11, 2017No, Eric. The reason we attack your family is that you're a bunch of corrupt imbecilities, driving our country like drunk monkies.  Kelly Scaletta (@KellyScaletta) July 11, 2017While playing victim Eric doesn t seem to realize that his brother tweeted out his own emails, which, by the way, threw Jared Kushner and Paul Manafort under the bus. In fact, he threw the entire White House under the bus.The subject line of the emails was titled,  Russia   Clinton   private and confidential. This is obviously very high level and sensitive information but is part of Russia and its government s support for Mr. Trump,  Rob Goldstone, who set up the meeting, wrote. If it s what you say I love it,  Trump Jr. said in response to the potential information on Hillary Clinton.Well now! Maybe Junior, Jared and Paul Manafort were attacking Hillary because they can t stand that her family is  extremely close. Trump responded to the email dump by his own son in a statement Tuesday, saying that Don Jr.  is a high-quality person and I applaud his transparency. Except that the only reason Junior was  transparent  was because he was caught. Junior outed his emails before the New York Times could publish them.Photo by Jeff J Mitchell/Getty Images.",0,News,"July 11, 2017"
Pakistan militant group finds likely replacement after U.S. drone kills leader,"PESHAWAR, Pakistan (Reuters) - Senior militant commander Asad Afridi has emerged as the favorite to become the new leader of a deadly Pakistani Taliban faction, militant sources said on Friday, days after a U.S. drone strike killed the group s chief. Jamaat-ul-Ahrar (JuA), a splinter faction of the Pakistani Taliban, has killed hundreds of people in bomb attacks and is considered one of the most dangerous militant groups in the nuclear-armed South Asian nation. The killing of JuA chief Omar Khalid Khorasani was a major boost for Pakistan s anti-militancy campaign and is likely to help ease tension with uneasy ally the United States days ahead of a visit by U.S. Secretary of State Rex Tillerson. Two JuA commanders told Reuters Afridi was nominated to take over during a meeting in Afghanistan by the group s shura, or leadership council.  Asad Afridi was close to Omar Khalid, who had declared him his deputy,  said one JuA commander. A second JuA militant, who is a member of the shura, confirmed Afridi was nominated as the new chief.  Khorasani was seen as ruling the group with an iron fist.  Our organization used to be a one-man show. All powers were in the hands of Omar Khalid Khorasani,  the second commander said. Khorasani was killed during a series of U.S. drone attacks this week in which at least 30 people were killed on the Afghan side of the border. His killing follows a slight thaw in relations between Islamabad and Washington, seemingly sparked by the Pakistan army last week freeing a U.S.-Canadian couple and their three children after five years in captivity. The family was held by the Haqqani network, an Afghan Taliban-allied militant group. Warmer words from Washington have been in stark contrast to threats by U.S. officials that it would cut military aid and impose targeted sanctions if Pakistan did not stop providing a safe havens to the Afghan Taliban and Haqqani network. Pakistan denies offering sanctuary to Afghan Taliban fighters and has asked the United States to target Pakistani Taliban militants who cross the porous border and hide in Afghanistan. Pakistan is investing more than $500 million to fence the 2,500-km frontier. But in a sign that relations between the United States and Pakistan are still difficult, the chief of the CIA said on Thursday the U.S.-Canadian couple had been held inside Pakistan for five years, contradicting Pakistan s assertion they were held in Afghanistan. It is not clear if Afridi would change tack if he were to be confirmed as JuA leader, but there are concerns within the group about his power base among the ethnic Pashtun tribes who live along the Afghan border. Afridi is from the Zakha Khel area of Pakistan s Khyber region but Khorasani, and most JuA fighters, are from the Mohmand region to the north.  The organization was basically formed in Mohmand and the majority of the fighters and commanders are from Mohmand therefore people would have wished someone from the same area,  said the first JuA commander. He said Afridi did not have a religious or formal school education but had a history of fighting and had at one point fought U.S. troops in Afghanistan as part of the Taliban. On Friday, a suspected U.S. drone strike killed 12 people in Afghanistan s Paktia province, according to a government official. It was the fourth day this week that drone strikes were reported on the Afghanistan-Pakistan border region.  Twelve dead bodies have been pulled out of the area where the missiles struck,   Laik Khan, an Afghan government official, told Reuters. The JuA has emerged as the most deadly Pakistani Taliban faction over the past two years. At one point, it allied itself with Islamic State before apparently re-joining the Pakistani Taliban. The group bombed an Easter Sunday gathering at a park in the eastern Pakistani city of Lahore last year, killing at least 70 people. In August 2016, it bombed a hospital in Quetta targeting the city s most prominent lawyers, killing 74 people. In June this year, JuA targeted the provincial police chief of the Pakistani province of Baluchistan, killing 13 people. The attack was also claimed by Islamic State. ",1,worldnews,"October 20, 2017 "
"House Republicans seek ObamaCare repeal, more defense $$ in new budget plan","House Republicans, unveiling their first budget blueprint since the party took control of Congress, issued a sweeping spending plan Tuesday that calls for complete repeal of ObamaCare, major changes to Medicare and controversial moves to boost defense spending despite tight budget limits.

GOP leaders say their budget would balance in less than 10 years, and in that time cut spending by $5.5 trillion compared with current projections.

The spending plan stands little chance of ever being signed by President Obama, but makes clear that the party is not dialing back its ambitions despite a rocky start to the latest congressional session.

After some internal debate over the Republican strategy for taking on the Affordable Care Act, the budget plan renews GOP calls to repeal and replace the law.

The document would repeal ObamaCare “in its entirety,” and calls for “starting over with a patient-centered approach to health care reform.” The document does not get into deep specifics on what this might entail – one factor is a pending Supreme Court case over the law’s subsidies that could force Congress and the Obama administration to reconsider the policy, if the administration loses.

House Budget Committee Chairman Tom Price’s $3.8 trillion plan borrows heavily from prior GOP budgets, including a plan that would transform Medicare into a voucher-like ""premium support"" program for seniors joining Medicare in 2024 or later. They would receive a subsidy to purchase health insurance on the private market.

Meanwhile, Republicans are proposing using tens of billions of dollars in additional war funding to get around tight budget limits on the Pentagon.

The use of overseas military funds to skirt spending caps is a new feature. War spending is exempt from budget limits and the move would allow Republicans to effectively match Obama's proposal to boost defense spending by $38 billion above current limits. That was a key demand of the party's defense hawks.

But Senate Republicans, GOP aides say, are likely to reject the move to radically reshape Medicare and are more reluctant to use war funds to help out the Pentagon.

Price has also signaled he'll replicate Rep. Paul Ryan's approach to cutting Medicaid and food stamps by transforming them from federal programs into wholly state-run programs that receive lump sum funding from the government. That approach makes it easier to cut these programs without saying how many people would be dropped or how their benefits would be cut.

The nonbinding budget measure, while setting broad goals for spending and taxes, still requires follow-up legislation to implement. Republicans have never tried to implement its most controversial cuts and are unlikely to do so as long as Obama is president.

To meet their promise to balance the budget within a decade, Republicans would have to cut at least $5 trillion from a federal budget that's on track to total $50 trillion over that period. Senate Republicans will unveil their plan next.

The twin GOP budget plans will arrive as top lawmakers such as Speaker John Boehner, R-Ohio, are negotiating a $200 billion or so agreement that would permanently fix a flawed funding formula for Medicare physician payments -- adding perhaps $140 billion to the deficit over 10 years -- while at the same time the budget resolution will claim that the higher reimbursement rates for doctors will be ""paid for"" with cuts elsewhere in Medicare.

The Medicare ""docs' fix"" illustrates a truism in Washington: It's easy to vote for spending cuts when they're only hypothetical but excruciatingly hard when they're binding and spark opposition from powerful interest groups like health care providers.

The Associated Press contributed to this report.",1,,
Obama lauds Supreme Court ruling on Texas abortion law,"WASHINGTON (Reuters) - President Barack Obama said on Monday that he was pleased with a U.S. Supreme Court ruling that struck down a Texas abortion law. “As the brief filed by the Solicitor General makes clear and as the court affirmed today, these restrictions harm women’s health and place an unconstitutional obstacle in the path of a woman’s reproductive freedom,” Obama said in a statement. ",1,politicsNews,"June 27, 2016 "
"Russia hunting bomb hoaxers, says targeted by 'telephone terrorism': Kremlin","MOSCOW (Reuters) - The Kremlin said on Thursday authorities were hunting for those behind what it called a campaign of  telephone terrorism  that has prompted tens of thousands of people to be evacuated from buildings across the country in the last few days. Authorities evacuated people from dozens of buildings in Moscow on Wednesday after a flurry of anonymous phone calls falsely asserting the locations had been mined. The calls, which have affected more than 20 towns and cities, are reported to have begun on Monday.  This is telephone terrorism,  Kremlin spokesman Dmitry Peskov told a conference call with reporters.   The president (Vladimir Putin) was informed as soon as this wave of mischievous calls started. We are taking the necessary measures to identify those responsible.  ",1,worldnews,"September 14, 2017 "
 Donald Trump Terrorizes His Fans: ‘Lock Your Doors!’ Muslims Are Coming! (VIDEO),"On Monday, it seemed that Donald Trump has given up on his recent effort to act  presidential  and went back to his normal, fear-mongering, bigotry-fueled program at a rally in Rhode Island. Sensing that far too much time had gone by without an anti-Muslim rant, the Republican frontrunner urged his fans to  lock their doors  to stay safe from Syrian refugees that were resettled in the state.Suggesting that these refugees were affiliated with ISIS, Trump warned: Now here s one I don t like. Syrian refugees are now being resettled in Rhode Island. The crowd ate it up and booed the news Trump had just shared as he read off a piece of paper. He continued: We don t know who these people are. We don t know where they re from. We don t know where they re from. They have no documentation. We all have hearts and we can build safe zones in Syria and we ll get the Gulf states to put up the money. We re not putting up the money, but I ll get that done. But you know what? We can t let this happen. But you have a lot of them resettling in Rhode Island. Just enjoy your   lock your doors, folks. It seemed like the crowd didn t really know what to do with this information. Some people laughed, others yelled. Trump shouted: No, it s a big problem! We don t know anything about them. We don t know where they come from, who they are. There s no documentation. We have our incompetent government people letting  em in by the thousands, and who knows, who knows, maybe it s ISIS. Referencing the terrorist attack that happened in San Bernardino, California last December, where it is believed that the two Muslim suspects were inspired by ISIS, Trump added: You see what happens with two people that became radicalized in California where they shot and killed all their coworkers, OK? Not with me, folks. It s not happening with me. You can watch Trump s rant below: Trump is correct that Syrian refugees have been resettled in Rhode Island, but that s the only truth to this horrific rant. Many of these refugees have spent years getting all of their documents together and have endured in-depth interviews and near-flawless background checks before being allowed to enter America.This is just another line on the ever-growing list of disgusting anti-Muslim things Trump has said after he proposed that all Muslims should be banned from entering the United States. Fully aware of the consequences of such hateful rhetoric, President Barack Obama recently called Trump s attitude toward Muslims  dangerous. Featured image via Spencer Platt/Getty Images",0,News,"April 26, 2016"
OOPS! TRUMP Obsessed John McCain EXPOSED By Wikileaks Begging For Campaign Donations From Russia,WOW! John McCain is leading a vicious campaign against the Russian government since the November election.In January McCain suggested the Russian  hacking  of the election was an  act of war. Sworn Donald Trump enemy John McCain also admitted to passing a dossier of false claims of a Russian blackmail plot against the president-elect to the FBI.But OOPS! It looks like it wasn t that long ago that Senator McCain requested campaign donations from Russian officials for his Presidential campaign.Wikileaks released documents this week following the sudden death of Russian UN ambassador Vitaly Churkin.There are several documents Wikileaks has on McCain s request for donations from the Russians.In 2008 the Russian mission released a letter on a fundraising attempt from John McCain.  GPAccording to Reddit users John McCain illegally asked for campaign donations from the Russian Ambassador. (the same ambassador that died suddenly on Monday) This globalist shrieks about Russian influence while he himself participated in it.The Russians told McCain they would not donate to his campaign. ,0,left-news,"Feb 22, 2017"
Will Carlos Danger Cut a Deal? - Russia News Now,"This post was originally published on this site 
The criminal investigation underway over Anthony Weiner’s alleged child sex infraction has a couple of characteristics that make it especially awkward for Hillary Clinton and Huma Abedin, the estranged wife of Weiner and close companion of Hillary. 
Ed Timperlake points out to me that in an underage sex investigation, all electronic communications of the investigative target are pursued. This probably led to the grand jury that was announced 11 days ago issuing a subpoena for all of the devices in the possession of Weiner and his family, including Huma. As Lucianne Goldberg quipped, they even seize the Speak & Spell toys in these cases. This grand jury is in New York, possibly less politically supervised than the first Hillary email investigation. 
Evidently, some of these devices were not turned over in the first investigation and contained “pertinent” emails. We do not know with certainty, but some reports indicate the pertinent emails may have been found on Weiner’s laptop. Recall that the initial investigation did not convene a grand jury and did not, therefore, have subpoena power. It is possible that Huma Abedin misled the FBI over the existence of pertinent emails on her then husband’s computing devices. 
So what could have been on the laptop Carlos Danger used for sexting? 
Adam Yoshida, with a background in information technology consulting for affluent and powerful people emails: 
…Clinton [was] using e-mails seemingly like most people use IMs or text messaging. Her holding onto Blackberries (and seven switching back to older models when the software was upgraded) [demonstrates this]. It might even explain at least SOME of the motivation for the e-mail server itself. I’ve seen plenty of cases where a powerful person says basically, “I want my e-mails on this thing” and, regardless of whether it’s a good solution, people respond, “ready-aye-ready.” 
So, what could they have found on Weiner’s computers that would have caused such alarm? 
I’d think one of two things: 
1) Either that Huma signed in her e-mail account at one point and, presumably, it being Exchange or IMAP, dumped the whole account onto the computer and that account has plenty of e-mails between her and Clinton that were deleted. 
Or – 
2) There’s mention of Huma having a Yahoo account to which she would forward things for printing purposes. This struck me right away because, of course, printers are often difficult to configure as are e-mail accounts. It struck me as strange, yet very believable, that she mentioned that she’d forward stuff to that Yahoo account to print them. I mean, printing in theory should be platform agnostic, but – if you’re technically unsophisticated – you might have serious problems trying to setup an e-mail account or a printer on a device. Thus I imagine a scenario where she has a portable machine that either she can’t (or can’t be, for some reason) configured to use her home printer and a desktop machine (I imagine an slightly-older iMac here) that’s physically connected to the printer that serves as a shared “family computer” or whatever. She either can’t setup the e-mail account on that computer (perhaps it requires a VPN or something like that) or doesn’t want to, so she forwards everything that she wants to print to the Yahoo account that she does have setup on that computer. The FBI takes this computer as part of the Weiner investigation and, bam, they find thousands of e-mail messages – again, evidence of what was destroyed earlier. ",0,,
WORLD WAR 3 is Now * HILLARY Clinton Is Mushroom Cloud Waiting to Happen,source Add To The Conversation Using Facebook Comments,0,,
Steve Case: Why I’m voting for Hillary Clinton,"I’ve been involved in policy for three decades, since AOL played a pivotal role in getting the nation online in the early days of the Internet. Initially, my focus was on commercializing the Internet, expanding access and putting appropriate rules of the road in place. In the past decade, my focus shifted to encouraging pro-growth policies that foster innovation, generate jobs, help start-ups and create opportunity. I was proud to work with a Democratic president and a Republican House to help get the Jumpstart Our Business Startups (JOBS) Act passed four years ago, and I have spent countless hours meeting with members of both parties on immigration reform, patent reform and pro-start-up economic ideas.

Despite my active engagement on policy, however, I’ve tried to steer clear of politics. I’ve avoided endorsing candidates or making big contributions to campaigns. I’ve wanted to be nonpartisan, able to work with people on both sides of the aisle. Indeed, I’ve been troubled by the hyper-partisanship that has defined our politics of late, and by the resulting gridlock that has set in. The United States faces many challenges, but in my view our greatest threat may not be external forces but rather our inability to work together to move our country forward.

So my inclination is to continue to stay out of politics and continue to quietly build working relationships with both Republicans and Democrats. I’d prefer to be positioned as a builder of bridges and consensus.

But I’ve decided to make an exception this election. I have concluded that I cannot sit on the sidelines this year. At this pivotal time, the choice is too important.

I’ve decided to back Hillary Clinton for president for four reasons.

First, I think she’d be better for our economy, especially with respect to innovative technology and start-ups. Donald Trump knows business, but his campaign has been backward-looking on the economy and oddly absent of ideas to spur creation of the jobs of the future. Clinton understands what we need to help start businesses and will invest in education, advanced manufacturing and basic research. She’s not promising a return to a bygone era — she’s focused on making our economy strong for our children and their children. These forward-leaning policies are essential to ensure continued U.S. economic leadership.

Second, Clinton is right on immigration. To win in the global economy, our country must win the global battle for talent. Immigrants don’t take U.S. jobs; they create them. More than 40 percent of Fortune 500 companies were started by immigrants or their children: Think how many fewer jobs we’d have in the United States if these entrepreneurs and their parents had been kept out by a wall. Trump’s harsh policies will cost us jobs, and his even harsher rhetoric will chase away immigrant families whose children could grow up to be the next Steve Jobs (whose father was a Syrian refugee) or Sergey Brin (an immigrant himself).

Third, while Trump has been largely silent on technology issues facing the new economy, Clinton has put forward an agenda that has won considerable acclaim among technology leaders. She wants to appoint a chief innovation adviser, expand science, technology, engineering and math, or STEM, education and more. And she shares my view that it’s not enough to support a booming Silicon Valley — we need policies that promote the “rise of the rest”: a spread of start-ups to all parts of our country. We need to level the playing field so anybody, anywhere, has a shot at the American dream.

Fourth, I agree with Clinton on the need to control the deficit. Despite his populist rhetoric, Trump wants to give huge tax breaks to people like me, the very folks who have benefited greatly from the innovation economy, while many others have been left behind. In the process he would blow up our deficit and make the economy more unequal. I agree we need to simplify the tax code, but if we are going to give tax relief, let’s make sure it is in incentives for start-ups to grow and create jobs.

I think I get why Trump has been such a potent political force this year. I am well aware that millions of people are angry about their prospects and fearful that the forces of globalization and digitization have left them behind. I also recognize many are frustrated by politics and feel we need an outsider to shake things up. But I don’t think Trump is the answer, for those people or for the country.

I don’t agree with everything Clinton has said and done. I take issue with some aspects of her platform, and I worry about her inclination to all too often view the government as the solution to problems. If she becomes president, I’m sure there will be plenty of times I will disagree with her. But for 2016, I believe Hillary Clinton represents the best choice for the United States — and our best hope to remain the most innovative and entrepreneurial nation in the world.",1,,
"RACHEL MADDOW Announces Plan To Reveal Trump’s Tax Returns…Hey Maddow, you might want to rethink that felony.",Maddow has a freak out at the 48 second mark: ,0,left-news,"Mar 14, 2017"
U.S. envoy to Turkey says duration of visa services suspension depends on talks,"ISTANBUL (Reuters) - The U.S. ambassador to Turkey said on Monday the duration of a suspension in visa services in Turkey would depend on talks between the two governments regarding the detention of Turkish staff at the U.S. embassy. In a written statement, Ambassador John Bass said the length of the suspension would also depend on “the Turkish government’s commitment to protecting our facilities and personnel here in Turkey”, noting it was not a visa ban on Turkish citizens. He said the embassy had been unable to learn the reasons for the arrest of a Turkish staff member last week and or what evidence exists against the employee. ",1,politicsNews,"October 9, 2017 "
MUSLIMS CRITICIZE New State Law That Permanently BANS Sharia Law,"Maybe it s time for Muslim citizens and immigrants to start assimilating. What a concept Texas has just made a move that is sure to have many people cheering, and a select few angry. As the march to Sharia Law presses on, it appears Texas is fighting back.Over the past few years, Texas has been quick to take a stand against President Obama and implement the laws necessary to protect its citizens. Now, the Texas legislature has just passed a law designed to permanent bar Muslims from instituting Sharia Law in the Lone Star State.While State Sen. Donna Campbell doesn t specific measure Islamic law in the bill, her measure guarantees that no laws from  foreign courts  will be admissible by Texas civil court judges.  It s just to provide some belt and suspenders to make sure that, with judicial discretion, we don t trump Texas law, American law, with a foreign law regarding family law,  Campbell told reporters.Muslim groups have already criticized the bill, calling it a  solution looking for a problem.  They also argue that the bill will only perpetuate Islamophobia. What do you think? Do you support the measure? Via: Three Percenter Nation",0,left-news,"Feb 11, 2016"
Brazil's top court approves new graft probe of President Temer,"BRASILIA (Reuters) - A Brazilian Supreme Court judge on Tuesday authorized an investigation of President Michel Temer for suspected corruption involving a decree regulating ports, adding to graft allegations the president has so far parried with backing from Congress. The new investigation is based on a wiretapped conversation of a former Temer aide, Rodrigo Rocha Loures, who, according to court documents, discussed shaping the decree in return for bribes channeled from a port operator to the president. In his ruling, Justice Luis Roberto Barroso said the new probe was warranted because Brazil s top prosecutor, Rodrigo Janot, had found  strong indications  of crimes, given that the decree signed by Temer answered part of the demands made by logistics firm Rodrimar SA. Temer s lawyer said in a statement sent to the Supreme Court that the allegations against the president are  contaminated by untruths and malicious distortions.  The decree was publicly debated and benefited all port operators and not just Rodrimar, it said. Rodrimar also denied that it had received any special treatment from the government. The company said the decree in question partially addressed widespread demands from Brazil s port operators. Temer has denied any role in the corruption scandals that have come to light during a sprawling three-year investigation of political bribery in Brazil. His lawyers have also challenge the plea bargain deal that yielded the wiretap of Rocha Loures, arguing that the billionaire beef tycoon who arranged the recordings was unfairly favored by a close aide to Janot. Last month, Temer s allies in Congress easily blocked a corruption charge leveled by Janot. He is also expected to beat additional charges that Janot could level this week before leaving office. The latest investigation approved by the court adds more allegations to the mix. Brazil s currency, the real, posted its biggest daily drop in nearly a month, slipping 0.8 percent against the U.S. dollar as the investigation and a separate police probe into Temer s allies kept pressure on the president. Temer s success in beating back accusations had bolstered bets that he would be able to return focus to his market-friendly proposals to overhaul Brazil s tax and social security policies, tackling a record deficit. ",1,worldnews,"September 12, 2017 "
